Date,AAPL,MSFT,TSLA
2025-05-01,57365700,58938100,99659000
2025-05-02,101010600,30757400,114454700
2025-05-05,69018500,20136100,94618900
2025-05-06,51216500,15104200,76715800
2025-05-07,68536700,23295300,71592600
2025-05-08,50478900,23491300,97539400
2025-05-09,36453900,15324200,132387800
2025-05-12,63775800,22821900,112826700
2025-05-13,51909300,23618800,136992600
2025-05-14,49325800,19902800,136997300
2025-05-15,45029500,21992300,97882600
2025-05-16,54737900,23849800,95895700
2025-05-19,46140500,21336500,88869900
2025-05-20,42496600,15441800,131715500
2025-05-21,59211800,19216900,102354800
2025-05-22,46742400,18025600,97113400
2025-05-23,78432900,16883500,84654800
